id,epic,phase,priority,status,outcome,dependencies,release_gate,milestone,epic_id,owner,reviewer,estimate_band,acceptance_artifact,risk_decision_links,blocked_reason
ARG-000,Planning governance,0,P0,In progress,Create and harden canonical planning package,None,Planning,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-001,Product strategy,0,P0,Proposed,Approve product brief ICP service model and success measures,ARG-000,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-002,Research,0,P0,Proposed,Document founder and matchmaker operating workflows,ARG-001,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-003,Research,0,P0,Proposed,Test applicant candidate and client concepts and language,ARG-001,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-004,Brand experience,0,P0,In progress,Approve Nocturne brand and cross platform design direction,ARG-001;ARG-003,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,plans/design-system.md;plans/visuals/nocturne-system-specimen.png,DEC-011,""
ARG-005,Domain design,0,P0,Proposed,Approve admission candidate client and campaign lifecycles,ARG-002;ARG-003,Architecture,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-006,Privacy legal,0,P0,Proposed,Complete privacy legal screening and partner requirements assessment,ARG-001;ARG-005,Privacy,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-007,Security,0,P0,Proposed,Complete threat model and data flow diagrams,ARG-005;ARG-006,Security,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-008,Integrations,0,P0,Proposed,Complete provider and API feasibility matrix,ARG-005;ARG-006,Architecture,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-009,Launch strategy,0,P0,Proposed,Approve private beta plan and go no-go metrics,ARG-002;ARG-003;ARG-006;ARG-007;ARG-008,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-010,Service economics,0,P0,Proposed,Validate service model pricing pilot economics and non guarantees,ARG-001;ARG-006,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-011,Pilot metrics,0,P0,Proposed,Define hypothesis cohort metric catalog and decision thresholds,ARG-001;ARG-002;ARG-010,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-012,Service design,0,P0,Proposed,Produce and test end to end service blueprint,ARG-002;ARG-003,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
